,"Québec Cap-and-Trade System",,,,,,,," ","China National Emissions Trading System",,,," ","European Union Emissions Trading System (until 2018)",,,," ","European Union Emissions Trading System (from 2019, download)",,,,," ","United Kingdom Emissions Trading Scheme (download)",,,,,,," ","Korean Emissions Trading System",,,,," ","Washington Cap-and-Invest Program (download)",,,,,,,,," ","California Cap-and-Trade Program (download)",,,,,,,,,," "
2024-04-02,,,,,,,,," ",0.128099405,0.13782215,CNY,87.2," ",,,,," ",1,1.07277619,EUR,57.07,," ",,,,,,,," ",0.000681489,0.000731085,KRW,,8200," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-03,,,,,,,,," ",0.128099405,0.13782215,CNY,87," ",,,,," ",,,,,," ",1.167358389,1.252314286,GBP,32.7,22,211.18,," ",0.000681489,0.000731085,KRW,,8220," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-08,,,,,,,,," ",0.128099405,0.13782215,CNY,86.86," ",,,,," ",1,1.07277619,EUR,58.41,66.01," ",1.167358389,1.252314286,GBP,,,,36.33," ",0.000681489,0.000731085,KRW,,8560," ",0.932160882,1,USD,,,,,,36.43," ",0.932160882,1,USD,,,,,,,39.89," "
2024-04-09,,,,,,,,," ",0.128099405,0.13782215,CNY,89.02," ",,,,," ",1,1.07277619,EUR,61.3,," ",,,,,,,," ",0.000681489,0.000731085,KRW,,8700," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-10,,,,,,,,," ",0.128099405,0.13782215,CNY,83," ",,,,," ",1,1.07277619,EUR,63,," ",,,,,,,," ",,,,,," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-11,,,,,,,,," ",0.128099405,0.13782215,CNY,87.57," ",,,,," ",1,1.07277619,EUR,63.42,," ",,,,,,,," ",0.000681489,0.000731085,KRW,,8850," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-12,,,,,,,,," ",0.128099405,0.13782215,CNY,91.83," ",,,,," ",1,1.07277619,EUR,68.01,," ",,,,,,,," ",0.000681489,0.000731085,KRW,,9100," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-15,,,,,,,,," ",0.128099405,0.13782215,CNY,90.06," ",,,,," ",1,1.07277619,EUR,68.17,70.9," ",1.167358389,1.252314286,GBP,,,,35.79," ",0.000681489,0.000731085,KRW,,8990," ",0.932160882,1,USD,,,,,,38.07," ",0.932160882,1,USD,,,,,,,40.11," "
2024-04-16,,,,,,,,," ",0.128099405,0.13782215,CNY,89.53," ",,,,," ",1,1.07277619,EUR,70.61,," ",,,,,,,," ",0.000681489,0.000731085,KRW,,9000," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-17,,,,,,,,," ",0.128099405,0.13782215,CNY,93.03," ",,,,," ",,,,,," ",1.167358389,1.252314286,GBP,33.5,22,211.18,," ",0.000681489,0.000731085,KRW,,8900," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-18,,,,,,,,," ",0.128099405,0.13782215,CNY,92.42," ",,,,," ",1,1.07277619,EUR,67.15,," ",,,,,,,," ",0.000681489,0.000731085,KRW,,8750," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-19,,,,,,,,," ",0.128099405,0.13782215,CNY,94.87," ",,,,," ",1,1.07277619,EUR,67.77,," ",,,,,,,," ",0.000681489,0.000731085,KRW,,8750," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-22,,,,,,,,," ",0.128099405,0.13782215,CNY,97.67," ",,,,," ",1,1.07277619,EUR,65.1,66.76," ",1.167358389,1.252314286,GBP,,,,36.46," ",0.000681489,0.000731085,KRW,,8650," ",0.932160882,1,USD,,,,,,37.09," ",0.932160882,1,USD,,,,,,,39.6," "
2024-04-23,,,,,,,,," ",0.128099405,0.13782215,CNY,99.75," ",,,,," ",1,1.07277619,EUR,64.28,," ",,,,,,,," ",0.000681489,0.000731085,KRW,,8650," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-24,,,,,,,,," ",0.128099405,0.13782215,CNY,101.05," ",,,,," ",1,1.07277619,EUR,65.35,," ",,,,,,,," ",0.000681489,0.000731085,KRW,,8530," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-25,,,,,,,,," ",0.128099405,0.13782215,CNY,102.32," ",,,,," ",1,1.07277619,EUR,65.08,," ",,,,,,,," ",0.000681489,0.000731085,KRW,,8520," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-26,,,,,,,,," ",0.128099405,0.13782215,CNY,102.38," ",,,,," ",1,1.07277619,EUR,65.66,," ",,,,,,,," ",0.000681489,0.000731085,KRW,,8660," ",,,,,,,,,," ",,,,,,,,,,," "
2024-04-29,,,,,,,,," ",0.128099405,0.13782215,CNY,102.48," ",,,,," ",1,1.07277619,EUR,63.52,69.27," ",1.167358389,1.252314286,GBP,,,,36.47," ",0.000681489,0.000731085,KRW,,8710," ",0.932160882,1,USD,,,,,,37.87," ",0.932160882,1,USD,,,,,,,39.18," "
2024-04-30,,,,,,,,," ",0.128099405,0.13782215,CNY,101," ",,,,," ",1,1.07277619,EUR,65.26,," ",,,,,,,," ",0.000681489,0.000731085,KRW,,8760," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-06,,,,,,,,," ",0.128099405,0.13782215,CNY,105," ",,,,," ",1,1.081222727,EUR,70.3,72.21," ",1.167774019,1.26262381,GBP,,,,37.77," ",,,,,," ",0.92487882,1,USD,,,,,,38.05," ",0.92487882,1,USD,,,,,,,39.95," "
2024-05-07,,,,,,,,," ",0.128099405,0.13782215,CNY,100," ",,,,," ",1,1.081222727,EUR,69.16,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8780," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-08,,,,,,,,," ",0.128099405,0.13782215,CNY,98.27," ",,,,," ",1,1.081222727,EUR,68.99,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8730," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-09,,,,,,,,," ",0.128099405,0.13782215,CNY,99.81," ",,,,," ",,,,,," ",,,,,,,," ",0.000677373,0.000732391,KRW,8650,8790," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-10,,,,,,,,," ",0.128099405,0.13782215,CNY,99.99," ",,,,," ",,,,,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8830," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-13,,,,,,,,," ",0.128099405,0.13782215,CNY,95.09," ",,,,," ",1,1.081222727,EUR,68.48,70.06," ",1.167774019,1.26262381,GBP,,,,38.62," ",0.000677373,0.000732391,KRW,,8850," ",0.92487882,1,USD,,,,,,38.42," ",0.92487882,1,USD,,,,,,,39.6," "
2024-05-14,,,,,,,,," ",0.128099405,0.13782215,CNY,99.02," ",,,,," ",1,1.081222727,EUR,67.67,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8810," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-15,,,,,,,,," ",0.128099405,0.13782215,CNY,96.76," ",,,,," ",1,1.081222727,EUR,69.35,," ",1.167774019,1.26262381,GBP,37,22,208.9,," ",,,,,," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-16,,,,,,,,," ",0.128099405,0.13782215,CNY,103.65," ",,,,," ",1,1.081222727,EUR,68.26,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8870," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-17,,,,,,,,," ",0.128099405,0.13782215,CNY,97.1," ",,,,," ",1,1.081222727,EUR,69.46,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8950," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-20,,,,,,,,," ",0.128099405,0.13782215,CNY,97.46," ",,,,," ",1,1.081222727,EUR,71.24,75.62," ",1.167774019,1.26262381,GBP,,,,43.97," ",0.000677373,0.000732391,KRW,,8900," ",0.92487882,1,USD,,,,,,39.01," ",0.92487882,1,USD,,,,,,,40.2," "
2024-05-21,,,,,,,,," ",0.128099405,0.13782215,CNY,96," ",,,,," ",1,1.081222727,EUR,71.8,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8880," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-23,,,,,,,,," ",0.128099405,0.13782215,CNY,96.75," ",,,,," ",1,1.081222727,EUR,74.9,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8860," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-24,,,,,,,,," ",0.128099405,0.13782215,CNY,98.13," ",,,,," ",1,1.081222727,EUR,72.8,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8870," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-27,,,,,,,,," ",0.128099405,0.13782215,CNY,97.65," ",,,,," ",1,1.081222727,EUR,,74.85," ",1.167774019,1.26262381,GBP,,,,46.23," ",0.000677373,0.000732391,KRW,,8880," ",0.92487882,1,USD,,,,,,38.94," ",0.92487882,1,USD,,,,,,,40," "
2024-05-28,,,,,,,,," ",0.128099405,0.13782215,CNY,97.98," ",,,,," ",1,1.081222727,EUR,72.9,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8870," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-29,,,,,,,,," ",0.128099405,0.13782215,CNY,95.63," ",,,,," ",,,,,," ",1.167774019,1.26262381,GBP,43.75,22,208.9,," ",0.000677373,0.000732391,KRW,,8860," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-30,,,,,,,,," ",0.128099405,0.13782215,CNY,92.79," ",,,,," ",1,1.081222727,EUR,72,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8900," ",,,,,,,,,," ",,,,,,,,,,," "
2024-05-31,,,,,,,,," ",0.128099405,0.13782215,CNY,95.07," ",,,,," ",1,1.081222727,EUR,74.49,," ",,,,,,,," ",0.000677373,0.000732391,KRW,,8890," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-03,,,,,,,,," ",0.128099405,0.13782215,CNY,96.12," ",,,,," ",1,1.0759,EUR,75.35,72.44," ",1.181363461,1.271028947,GBP,,,,47.37," ",0.000673463,0.000724579,KRW,,8850," ",0.92945441,1,USD,,,,,,34.2," ",0.92945441,1,USD,,,,,,,36.84," "
2024-06-04,,,,,,,,," ",0.128099405,0.13782215,CNY,96.6," ",,,,," ",1,1.0759,EUR,71.5,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8640," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-05,,,,,,,,," ",0.128099405,0.13782215,CNY,96.05," ",,,,," ",1,1.0759,EUR,70.3,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8600," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-06,,,,,,,,," ",0.128099405,0.13782215,CNY,96.8," ",,,,," ",1,1.0759,EUR,71,," ",,,,,,,," ",,,,,," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-07,,,,,,,,," ",0.128099405,0.13782215,CNY,95.51," ",,,,," ",1,1.0759,EUR,69.9,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8640," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-11,,,,,,,,," ",0.128099405,0.13782215,CNY,95.43," ",,,,," ",1,1.0759,EUR,70.31,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8680," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-12,,,,,,,,," ",0.128099405,0.13782215,CNY,96," ",,,,," ",,,,,," ",1.181363461,1.271028947,GBP,46.92,22,206.53,," ",0.000673463,0.000724579,KRW,8650,8670," ",0.92945441,1,USD,29.92,24.02,56.16,72.15,88.15,," ",,,,,,,,,,," "
2024-06-13,,,,,,,,," ",0.128099405,0.13782215,CNY,96.46," ",,,,," ",1,1.0759,EUR,69.77,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8710," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-14,,,,,,,,," ",0.128099405,0.13782215,CNY,96.47," ",,,,," ",1,1.0759,EUR,68.41,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8760," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-17,,,,,,,,," ",0.128099405,0.13782215,CNY,96.5," ",,,,," ",1,1.0759,EUR,66.66,68.83," ",1.181363461,1.271028947,GBP,,,,47.82," ",0.000673463,0.000724579,KRW,,8820," ",0.92945441,1,USD,,,,,,33.98," ",0.92945441,1,USD,,,,,,,36.35," "
2024-06-18,,,,,,,,," ",0.128099405,0.13782215,CNY,96.04," ",,,,," ",1,1.0759,EUR,66.97,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8850," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-19,,,,,,,,," ",0.128099405,0.13782215,CNY,95.11," ",,,,," ",1,1.0759,EUR,67.75,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8910," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-20,,,,,,,,," ",0.128099405,0.13782215,CNY,93.86," ",,,,," ",1,1.0759,EUR,68.61,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8900," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-21,,,,,,,,," ",0.128099405,0.13782215,CNY,94.15," ",,,,," ",1,1.0759,EUR,67.36,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8940," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-24,,,,,,,,," ",0.128099405,0.13782215,CNY,93.11," ",,,,," ",1,1.0759,EUR,66.06,67.27," ",1.181363461,1.271028947,GBP,,,,46.34," ",0.000673463,0.000724579,KRW,,8920," ",0.92945441,1,USD,,,,,,34.26," ",0.92945441,1,USD,,,,,,,37.14," "
2024-06-25,,,,,,,,," ",0.128099405,0.13782215,CNY,93.64," ",,,,," ",1,1.0759,EUR,65.94,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8930," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-26,,,,,,,,," ",0.128099405,0.13782215,CNY,93.35," ",,,,," ",,,,,," ",1.181363461,1.271028947,GBP,45,22,206.53,," ",0.000673463,0.000724579,KRW,,8950," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-27,,,,,,,,," ",0.128099405,0.13782215,CNY,93.08," ",,,,," ",1,1.0759,EUR,66.17,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8950," ",,,,,,,,,," ",,,,,,,,,,," "
2024-06-28,,,,,,,,," ",0.128099405,0.13782215,CNY,92.78," ",,,,," ",1,1.0759,EUR,65.01,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8950," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-01,,,,,,,,," ",0.128099405,0.13782215,CNY,90.81," ",,,,," ",1,1.0759,EUR,67.83,69.98," ",1.181363461,1.271028947,GBP,,,,46.04," ",0.000673463,0.000724579,KRW,,8950," ",0.92945441,1,USD,,,,,,35.44," ",0.92945441,1,USD,,,,,,,38.17," "
2024-07-02,,,,,,,,," ",0.128099405,0.13782215,CNY,91.58," ",,,,," ",1,1.0759,EUR,66.71,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8970," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-03,,,,,,,,," ",0.128099405,0.13782215,CNY,90.67," ",,,,," ",1,1.0759,EUR,68.84,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8990," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-04,,,,,,,,," ",0.128099405,0.13782215,CNY,91," ",,,,," ",1,1.0759,EUR,68.71,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8980," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-05,,,,,,,,," ",0.128099405,0.13782215,CNY,91.16," ",,,,," ",1,1.0759,EUR,68.68,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8980," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-08,,,,,,,,," ",0.128099405,0.13782215,CNY,92.47," ",,,,," ",1,1.0759,EUR,70,68.61," ",1.181363461,1.271028947,GBP,,,,42.19," ",0.000673463,0.000724579,KRW,,8980," ",0.92945441,1,USD,,,,,,35.65," ",0.92945441,1,USD,,,,,,,36.86," "
2024-07-09,,,,,,,,," ",0.128099405,0.13782215,CNY,88.54," ",,,,," ",1,1.0759,EUR,66.87,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8970," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-10,,,,,,,,," ",0.128099405,0.13782215,CNY,90.06," ",,,,," ",1,1.0759,EUR,67.42,," ",1.181363461,1.271028947,GBP,40.35,22,202.29,," ",0.000673463,0.000724579,KRW,9000,8980," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-11,,,,,,,,," ",0.128099405,0.13782215,CNY,89.95," ",,,,," ",1,1.0759,EUR,66.72,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8990," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-12,,,,,,,,," ",0.128099405,0.13782215,CNY,89.42," ",,,,," ",1,1.0759,EUR,67.06,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8990," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-15,,,,,,,,," ",0.128099405,0.13782215,CNY,86.01," ",,,,," ",1,1.0759,EUR,66.63,66.99," ",1.181363461,1.271028947,GBP,,,,40.85," ",0.000673463,0.000724579,KRW,,8990," ",0.92945441,1,USD,,,,,,35.62," ",0.92945441,1,USD,,,,,,,34.79," "
2024-07-16,,,,,,,,," ",0.128099405,0.13782215,CNY,88.11," ",,,,," ",1,1.0759,EUR,66.16,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,8990," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-17,,,,,,,,," ",0.128099405,0.13782215,CNY,86," ",,,,," ",1,1.0759,EUR,66.66,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9000," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-18,,,,,,,,," ",0.128099405,0.13782215,CNY,89.45," ",,,,," ",1,1.0759,EUR,64.96,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9000," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-19,,,,,,,,," ",0.128099405,0.13782215,CNY,89.34," ",,,,," ",1,1.0759,EUR,64.73,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9000," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-22,,,,,,,,," ",0.128099405,0.13782215,CNY,90.82," ",,,,," ",1,1.0759,EUR,64.37,66.71," ",1.181363461,1.271028947,GBP,,,,39.84," ",0.000673463,0.000724579,KRW,,9000," ",0.92945441,1,USD,,,,,,36.2," ",0.92945441,1,USD,,,,,,,34.47," "
2024-07-23,,,,,,,,," ",0.128099405,0.13782215,CNY,89.38," ",,,,," ",1,1.0759,EUR,63.67,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9010," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-24,,,,,,,,," ",0.128099405,0.13782215,CNY,91.47," ",,,,," ",1,1.0759,EUR,66.71,," ",1.181363461,1.271028947,GBP,38.62,22,202.29,," ",0.000673463,0.000724579,KRW,,9020," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-25,,,,,,,,," ",0.128099405,0.13782215,CNY,88.41," ",,,,," ",1,1.0759,EUR,66.33,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9300," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-26,,,,,,,,," ",0.128099405,0.13782215,CNY,91.8," ",,,,," ",1,1.0759,EUR,67.17,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9200," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-29,,,,,,,,," ",0.128099405,0.13782215,CNY,91.5," ",,,,," ",1,1.0759,EUR,66.55,69.66," ",1.181363461,1.271028947,GBP,,,,39.02," ",0.000673463,0.000724579,KRW,,9150," ",0.92945441,1,USD,,,,,,36.01," ",0.92945441,1,USD,,,,,,,33.9," "
2024-07-30,,,,,,,,," ",0.128099405,0.13782215,CNY,90.62," ",,,,," ",1,1.0759,EUR,67.85,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9150," ",,,,,,,,,," ",,,,,,,,,,," "
2024-07-31,,,,,,,,," ",0.128099405,0.13782215,CNY,90.6," ",,,,," ",1,1.0759,EUR,68.07,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9140," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-01,,,,,,,,," ",0.128099405,0.13782215,CNY,89.58," ",,,,," ",1,1.0759,EUR,69.76,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9150," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-02,,,,,,,,," ",0.128099405,0.13782215,CNY,89.9," ",,,,," ",1,1.0759,EUR,67.02,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9150," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-05,,,,,,,,," ",0.128099405,0.13782215,CNY,91.49," ",,,,," ",1,1.0759,EUR,68.65,70.09," ",1.181363461,1.271028947,GBP,,,,38.43," ",0.000673463,0.000724579,KRW,,9150," ",0.92945441,1,USD,,,,,,36.28," ",0.92945441,1,USD,,,,,,,34.24," "
2024-08-06,,,,,,,,," ",0.128099405,0.13782215,CNY,92.1," ",,,,," ",,,,,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9150," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-07,,,,,,,,," ",0.128099405,0.13782215,CNY,91.79," ",,,,," ",,,,,," ",1.181363461,1.271028947,GBP,36.1,22,197.27,," ",0.000673463,0.000724579,KRW,,9150," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-08,,,,,,,,," ",0.128099405,0.13782215,CNY,92.48," ",,,,," ",1,1.0759,EUR,68.9,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9090," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-09,,,,,,,,," ",0.128099405,0.13782215,CNY,90.66," ",,,,," ",1,1.0759,EUR,70.46,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9130," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-12,,,,,,,,," ",0.128099405,0.13782215,CNY,92.37," ",,,,," ",1,1.0759,EUR,71.15,72.09," ",1.181363461,1.271028947,GBP,,,,39.48," ",0.000673463,0.000724579,KRW,,9130," ",0.92945441,1,USD,,,,,,36.34," ",0.92945441,1,USD,,,,,,,33.32," "
2024-08-13,,,,,,,,," ",0.128099405,0.13782215,CNY,91.31," ",,,,," ",1,1.0759,EUR,70.82,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9120," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-15,,,,,,,,," ",0.128099405,0.13782215,CNY,91.5," ",,,,," ",1,1.0759,EUR,69.85,," ",,,,,,,," ",,,,,," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-16,,,,,,,,," ",0.128099405,0.13782215,CNY,91.88," ",,,,," ",1,1.0759,EUR,71,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9200," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-19,,,,,,,,," ",0.128099405,0.13782215,CNY,93.1," ",,,,," ",1,1.0759,EUR,71.5,72.21," ",1.181363461,1.271028947,GBP,,,,40.44," ",0.000673463,0.000724579,KRW,,9130," ",0.92945441,1,USD,,,,,,36.26," ",0.92945441,1,USD,,,,,,,32.3," "
2024-08-20,,,,,,,,," ",0.128099405,0.13782215,CNY,92.57," ",,,,," ",1,1.0759,EUR,72.4,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9100," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-21,,,,,,,,," ",0.128099405,0.13782215,CNY,90.74," ",,,,," ",,,,,," ",1.181363461,1.271028947,GBP,39.25,22,197.27,," ",0.000673463,0.000724579,KRW,,9200," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-22,,,,,,,,," ",0.128099405,0.13782215,CNY,91.03," ",,,,," ",1,1.0759,EUR,71.02,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9290," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-23,,,,,,,,," ",0.128099405,0.13782215,CNY,92.52," ",,,,," ",1,1.0759,EUR,70.73,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9400," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-26,,,,,,,,," ",0.128099405,0.13782215,CNY,93.7," ",,,,," ",1,1.0759,EUR,69.28,70.82," ",1.181363461,1.271028947,GBP,,,,41.55," ",0.000673463,0.000724579,KRW,,10300," ",0.92945441,1,USD,,,,,,36.82," ",0.92945441,1,USD,,,,,,,34.29," "
2024-08-27,,,,,,,,," ",0.128099405,0.13782215,CNY,94.35," ",,,,," ",1,1.0759,EUR,70.17,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,11300," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-28,,,,,,,,," ",0.128099405,0.13782215,CNY,94.66," ",,,,," ",1,1.0759,EUR,70.39,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,10450," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-29,,,,,,,,," ",0.128099405,0.13782215,CNY,95.13," ",,,,," ",1,1.0759,EUR,69.5,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9970," ",,,,,,,,,," ",,,,,,,,,,," "
2024-08-30,,,,,,,,," ",0.128099405,0.13782215,CNY,93.44," ",,,,," ",1,1.0759,EUR,70.07,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9950," ",,,,,,,,,," ",,,,,,,,,,," "
2024-09-02,,,,,,,,," ",0.128099405,0.13782215,CNY,95.32," ",,,,," ",1,1.0759,EUR,69.3,67.66," ",1.181363461,1.271028947,GBP,,,,42.1," ",0.000673463,0.000724579,KRW,,9700," ",0.92945441,1,USD,,,,,,36.74," ",0.92945441,1,USD,,,,,,,34.79," "
2024-09-03,,,,,,,,," ",0.128099405,0.13782215,CNY,96.02," ",,,,," ",1,1.0759,EUR,68.56,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9890," ",,,,,,,,,," ",,,,,,,,,,," "
2024-09-04,,,,,,,,," ",0.128099405,0.13782215,CNY,96.06," ",,,,," ",,,,,," ",1.181363461,1.271028947,GBP,40.9,22,191.36,," ",0.000673463,0.000724579,KRW,,9800," ",0.92945441,1,USD,29.88,24.02,56.16,72.15,88.15,," ",,,,,,,,,,," "
2024-09-05,,,,,,,,," ",0.128099405,0.13782215,CNY,95.7," ",,,,," ",1,1.0759,EUR,65.99,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9600," ",,,,,,,,,," ",,,,,,,,,,," "
2024-09-06,,,,,,,,," ",0.128099405,0.13782215,CNY,97.65," ",,,,," ",1,1.0759,EUR,67,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9600," ",,,,,,,,,," ",,,,,,,,,,," "
2024-09-09,,,,,,,,," ",0.128099405,0.13782215,CNY,96.78," ",,,,," ",1,1.0759,EUR,65.75,65.66," ",1.181363461,1.271028947,GBP,,,,42.56," ",0.000673463,0.000724579,KRW,,9600," ",0.92945441,1,USD,,,,,,35.01," ",0.92945441,1,USD,,,,,,,34.86," "
2024-09-10,,,,,,,,," ",0.128099405,0.13782215,CNY,97.17," ",,,,," ",1,1.0759,EUR,65.83,," ",,,,,,,," ",0.000673463,0.000724579,KRW,,9600," ",,,,,,,,,," ",,,,,,,,,,," "
2024-09-11,,,,,,,,," ",0.128099405,0.13782215,CNY,91.05," ",,,,," ",1,1.0759,EUR,64.75,," ",,,,,,,," ",0.000673463,0.000724579,KRW,9600,9580," ",,,,,,,,,," ",,,,,,,,,,," "
